Region per Sales,,,,,,Top performing products/categories,
Row Labels,Count of Field14,,Month per Sales,,,,
Central,2413,,,,,Row Labels,Count of Field16
East,2444,,Row Labels,Count of Field14,,-259.8,1
North,2413,,January,1345,,Office Supplies,1
Region,1,,February,1132,,-223.58,1
South,2374,,March,1174,,Technology,1
West,2380,,April,1096,,-210.06,1
(blank),,,May,1106,,Office Supplies,1
Grand Total,12025,,June,961,,-207.82,1
,,,July,988,,Furniture,1
,,,August,938,,-189.07,1
,,,September,860,,Technology,1
,,,October,857,,-184.38,1
,,,November,768,,Furniture,1
,,,December,772,,-171.41,1
,,,Grand Total,11997,,Technology,1
,,,,,,-168.33,1
,,,,,,Furniture,1
,,,,,,-155.74,1
,,,,,,Office Supplies,1
,,,,,,-142.71,1
,,,,,,Furniture,1
,,,,,,-128.55,1
,,,,,,Technology,1
,,,,,,-128.54,1
,,,,,,Office Supplies,1
,,,,,,-108.08,1
,,,,,,Office Supplies,1
,,,,,,-100.48,1
,,,,,,Technology,1
,,,,,,-100.36,1
,,,,,,Office Supplies,1
,,,,,,-84.16,1
,,,,,,Furniture,1
,,,,,,-78.33,1
,,,,,,Furniture,1
,,,,,,-77.3,1
,,,,,,Furniture,1
,,,,,,-74.78,1
,,,,,,Office Supplies,1
,,,,,,-74.11,1
,,,,,,Office Supplies,1
,,,,,,-63.44,1
,,,,,,Office Supplies,1
,,,,,,-57.49,1
,,,,,,Office Supplies,1
,,,,,,-55.77,1
,,,,,,Office Supplies,1
,,,,,,-55.72,1
,,,,,,Office Supplies,1
,,,,,,-55.17,1
,,,,,,Office Supplies,1
,,,,,,-54.29,1
,,,,,,Office Supplies,1
,,,,,,-53.93,1
,,,,,,Office Supplies,1
,,,,,,-51.51,1
,,,,,,Office Supplies,1
,,,,,,-50.92,1
,,,,,,Office Supplies,1
,,,,,,-50.78,1
,,,,,,Furniture,1
,,,,,,-50.54,1
,,,,,,Office Supplies,1
,,,,,,-50.42,1
,,,,,,Office Supplies,1
,,,,,,-49.47,1
,,,,,,Furniture,1
,,,,,,-49.02,1
,,,,,,Office Supplies,1
,,,,,,-48.57,1
,,,,,,Office Supplies,1
,,,,,,-47.93,1
,,,,,,Office Supplies,1
,,,,,,-47.8,1
,,,,,,Office Supplies,1
,,,,,,-47.63,1
,,,,,,Office Supplies,1
,,,,,,-46.98,1
,,,,,,Office Supplies,1
,,,,,,-46.76,1
,,,,,,Office Supplies,1
,,,,,,-46.55,1
,,,,,,Office Supplies,1
,,,,,,-46.12,1
,,,,,,Office Supplies,1
,,,,,,-46.03,1
,,,,,,Office Supplies,1
,,,,,,-46,1
,,,,,,Office Supplies,1
,,,,,,-45.77,1
,,,,,,Office Supplies,1
,,,,,,-45.72,1
,,,,,,Technology,1
,,,,,,-45.41,2
,,,,,,Office Supplies,2
,,,,,,-45.2,1
,,,,,,Office Supplies,1
,,,,,,-45.06,1
,,,,,,Office Supplies,1
,,,,,,-44.96,1
,,,,,,Office Supplies,1
,,,,,,-44.81,1
,,,,,,Office Supplies,1
,,,,,,-44.63,1
,,,,,,Office Supplies,1
,,,,,,-44.13,1
,,,,,,Office Supplies,1
,,,,,,-43.92,1
,,,,,,Office Supplies,1
,,,,,,-43.53,1
,,,,,,Office Supplies,1
,,,,,,-43.27,2
,,,,,,Office Supplies,2
,,,,,,-42.93,1
,,,,,,Office Supplies,1
,,,,,,-42.89,1
,,,,,,Office Supplies,1
,,,,,,-42.73,1
,,,,,,Office Supplies,1
,,,,,,-42.63,1
,,,,,,Office Supplies,1
,,,,,,-42.49,1
,,,,,,Office Supplies,1
,,,,,,-42.36,1
,,,,,,Office Supplies,1
,,,,,,-42.19,1
,,,,,,Office Supplies,1
,,,,,,-41.9,1
,,,,,,Office Supplies,1
,,,,,,-41.48,1
,,,,,,Office Supplies,1
,,,,,,-41.25,1
,,,,,,Office Supplies,1
,,,,,,-41.17,1
,,,,,,Office Supplies,1
,,,,,,-41.01,1
,,,,,,Office Supplies,1
,,,,,,-40.62,1
,,,,,,Office Supplies,1
,,,,,,-40.41,1
,,,,,,Office Supplies,1
,,,,,,-40.12,1
,,,,,,Office Supplies,1
,,,,,,-40.11,1
,,,,,,Office Supplies,1
,,,,,,-39.89,1
,,,,,,Office Supplies,1
,,,,,,-39.75,1
,,,,,,Office Supplies,1
,,,,,,-39.57,1
,,,,,,Office Supplies,1
,,,,,,-39.53,1
,,,,,,Office Supplies,1
,,,,,,-39.46,1
,,,,,,Furniture,1
,,,,,,-39.33,1
,,,,,,Office Supplies,1
,,,,,,-39.29,1
,,,,,,Office Supplies,1
,,,,,,-39.25,1
,,,,,,Office Supplies,1
,,,,,,-38.8,1
,,,,,,Office Supplies,1
,,,,,,-38.78,1
,,,,,,Office Supplies,1
,,,,,,-38.61,1
,,,,,,Office Supplies,1
,,,,,,-38.57,1
,,,,,,Office Supplies,1
,,,,,,-38.48,1
,,,,,,Office Supplies,1
,,,,,,-38.4,1
,,,,,,Office Supplies,1
,,,,,,-38.27,1
,,,,,,Furniture,1
,,,,,,-37.99,1
,,,,,,Office Supplies,1
,,,,,,-37.89,2
,,,,,,Office Supplies,2
,,,,,,-37.78,1
,,,,,,Office Supplies,1
,,,,,,-37.73,1
,,,,,,Office Supplies,1
,,,,,,-37.6,1
,,,,,,Office Supplies,1
,,,,,,-37.56,1
,,,,,,Office Supplies,1
,,,,,,-37.25,1
,,,,,,Office Supplies,1
,,,,,,-37.2,1
,,,,,,Office Supplies,1
,,,,,,-37.09,1
,,,,,,Office Supplies,1
,,,,,,-37,1
,,,,,,Office Supplies,1
,,,,,,-36.94,1
,,,,,,Office Supplies,1
,,,,,,-36.84,1
,,,,,,Furniture,1
,,,,,,-36.73,1
,,,,,,Office Supplies,1
,,,,,,-36.71,1
,,,,,,Office Supplies,1
,,,,,,-36.57,2
,,,,,,Office Supplies,2
,,,,,,-36.51,1
,,,,,,Office Supplies,1
,,,,,,-36.14,1
,,,,,,Office Supplies,1
,,,,,,-36.09,1
,,,,,,Office Supplies,1
,,,,,,-36.01,1
,,,,,,Office Supplies,1
,,,,,,-35.97,1
,,,,,,Furniture,1
,,,,,,-35.93,1
,,,,,,Office Supplies,1
,,,,,,-35.89,1
,,,,,,Office Supplies,1
,,,,,,-35.81,1
,,,,,,Office Supplies,1
,,,,,,-35.8,1
,,,,,,Office Supplies,1
,,,,,,-35.78,1
,,,,,,Office Supplies,1
,,,,,,-35.77,1
,,,,,,Office Supplies,1
,,,,,,-35.63,1
,,,,,,Office Supplies,1
,,,,,,-35.52,1
,,,,,,Office Supplies,1
,,,,,,-35.34,1
,,,,,,Office Supplies,1
,,,,,,-35.28,1
,,,,,,Office Supplies,1
,,,,,,-35.26,1
,,,,,,Furniture,1
,,,,,,-35.25,1
,,,,,,Office Supplies,1
,,,,,,-35.12,1
,,,,,,Office Supplies,1
,,,,,,-35.1,2
,,,,,,Office Supplies,1
,,,,,,Technology,1
,,,,,,-35.04,1
,,,,,,Office Supplies,1
,,,,,,-35.01,1
,,,,,,Furniture,1
,,,,,,-34.96,1
,,,,,,Office Supplies,1
,,,,,,-34.95,1
,,,,,,Office Supplies,1
,,,,,,-34.94,1
,,,,,,Office Supplies,1
,,,,,,-34.88,1
,,,,,,Office Supplies,1
,,,,,,-34.85,2
,,,,,,Office Supplies,2
,,,,,,-34.8,1
,,,,,,Office Supplies,1
,,,,,,-34.76,1
,,,,,,Office Supplies,1
,,,,,,-34.71,1
,,,,,,Office Supplies,1
,,,,,,-34.65,1
,,,,,,Office Supplies,1
,,,,,,-34.61,1
,,,,,,Office Supplies,1
,,,,,,-34.5,1
,,,,,,Office Supplies,1
,,,,,,-34.49,1
,,,,,,Office Supplies,1
,,,,,,-34.48,1
,,,,,,Office Supplies,1
,,,,,,-34.37,1
,,,,,,Office Supplies,1
,,,,,,-34.35,2
,,,,,,Office Supplies,2
,,,,,,-34.3,1
,,,,,,Office Supplies,1
,,,,,,-34.2,1
,,,,,,Furniture,1
,,,,,,-34.18,1
,,,,,,Office Supplies,1
,,,,,,-34.11,1
,,,,,,Furniture,1
,,,,,,-33.88,1
,,,,,,Office Supplies,1
,,,,,,-33.77,1
,,,,,,Office Supplies,1
,,,,,,-33.72,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-33.47,1
,,,,,,Office Supplies,1
,,,,,,-33.29,1
,,,,,,Office Supplies,1
,,,,,,-32.85,1
,,,,,,Office Supplies,1
,,,,,,-32.76,1
,,,,,,Office Supplies,1
,,,,,,-32.67,1
,,,,,,Technology,1
,,,,,,-32.52,1
,,,,,,Office Supplies,1
,,,,,,-32.48,2
,,,,,,Office Supplies,2
,,,,,,-32.41,1
,,,,,,Office Supplies,1
,,,,,,-32.39,1
,,,,,,Office Supplies,1
,,,,,,-32.36,1
,,,,,,Office Supplies,1
,,,,,,-32.16,1
,,,,,,Office Supplies,1
,,,,,,-32.12,1
,,,,,,Office Supplies,1
,,,,,,-32.07,1
,,,,,,Office Supplies,1
,,,,,,-32.04,1
,,,,,,Technology,1
,,,,,,-32.01,1
,,,,,,Furniture,1
,,,,,,-31.62,1
,,,,,,Office Supplies,1
,,,,,,-31.5,1
,,,,,,Office Supplies,1
,,,,,,-31.38,1
,,,,,,Office Supplies,1
,,,,,,-31.24,1
,,,,,,Office Supplies,1
,,,,,,-31.17,1
,,,,,,Furniture,1
,,,,,,-31.14,1
,,,,,,Office Supplies,1
,,,,,,-31.07,1
,,,,,,Office Supplies,1
,,,,,,-31.06,2
,,,,,,Office Supplies,1
,,,,,,Technology,1
,,,,,,-30.84,1
,,,,,,Office Supplies,1
,,,,,,-30.82,1
,,,,,,Office Supplies,1
,,,,,,-30.78,1
,,,,,,Office Supplies,1
,,,,,,-30.76,1
,,,,,,Office Supplies,1
,,,,,,-30.75,1
,,,,,,Office Supplies,1
,,,,,,-30.7,1
,,,,,,Furniture,1
,,,,,,-30.67,1
,,,,,,Office Supplies,1
,,,,,,-30.61,1
,,,,,,Office Supplies,1
,,,,,,-30.58,1
,,,,,,Office Supplies,1
,,,,,,-30.57,1
,,,,,,Office Supplies,1
,,,,,,-30.5,1
,,,,,,Office Supplies,1
,,,,,,-30.44,1
,,,,,,Furniture,1
,,,,,,-30.35,1
,,,,,,Office Supplies,1
,,,,,,-30.34,1
,,,,,,Technology,1
,,,,,,-30.31,1
,,,,,,Office Supplies,1
,,,,,,-30.25,2
,,,,,,Office Supplies,2
,,,,,,-30.23,1
,,,,,,Office Supplies,1
,,,,,,-30.15,1
,,,,,,Office Supplies,1
,,,,,,-30.07,1
,,,,,,Office Supplies,1
,,,,,,-30,1
,,,,,,Office Supplies,1
,,,,,,-29.6,1
,,,,,,Office Supplies,1
,,,,,,-29.59,1
,,,,,,Office Supplies,1
,,,,,,-29.58,1
,,,,,,Office Supplies,1
,,,,,,-29.53,1
,,,,,,Office Supplies,1
,,,,,,-29.51,1
,,,,,,Office Supplies,1
,,,,,,-29.47,1
,,,,,,Office Supplies,1
,,,,,,-29.42,1
,,,,,,Office Supplies,1
,,,,,,-29.31,1
,,,,,,Furniture,1
,,,,,,-29.16,1
,,,,,,Office Supplies,1
,,,,,,-29.15,1
,,,,,,Office Supplies,1
,,,,,,-29.13,1
,,,,,,Office Supplies,1
,,,,,,-29.12,1
,,,,,,Office Supplies,1
,,,,,,-29.07,1
,,,,,,Office Supplies,1
,,,,,,-28.95,1
,,,,,,Office Supplies,1
,,,,,,-28.71,1
,,,,,,Office Supplies,1
,,,,,,-28.68,1
,,,,,,Office Supplies,1
,,,,,,-28.67,1
,,,,,,Office Supplies,1
,,,,,,-28.58,2
,,,,,,Office Supplies,2
,,,,,,-28.52,1
,,,,,,Furniture,1
,,,,,,-28.43,1
,,,,,,Office Supplies,1
,,,,,,-28.4,1
,,,,,,Office Supplies,1
,,,,,,-28.38,1
,,,,,,Office Supplies,1
,,,,,,-28.37,1
,,,,,,Office Supplies,1
,,,,,,-28.31,1
,,,,,,Office Supplies,1
,,,,,,-28.3,2
,,,,,,Office Supplies,2
,,,,,,-28.13,1
,,,,,,Office Supplies,1
,,,,,,-28.03,1
,,,,,,Office Supplies,1
,,,,,,-27.92,1
,,,,,,Office Supplies,1
,,,,,,-27.9,1
,,,,,,Office Supplies,1
,,,,,,-27.87,1
,,,,,,Office Supplies,1
,,,,,,-27.78,1
,,,,,,Office Supplies,1
,,,,,,-27.77,1
,,,,,,Office Supplies,1
,,,,,,-27.73,1
,,,,,,Office Supplies,1
,,,,,,-27.59,1
,,,,,,Office Supplies,1
,,,,,,-27.55,1
,,,,,,Office Supplies,1
,,,,,,-27.54,1
,,,,,,Office Supplies,1
,,,,,,-27.51,1
,,,,,,Office Supplies,1
,,,,,,-27.43,1
,,,,,,Office Supplies,1
,,,,,,-27.38,1
,,,,,,Office Supplies,1
,,,,,,-27.34,1
,,,,,,Office Supplies,1
,,,,,,-27.26,1
,,,,,,Office Supplies,1
,,,,,,-27.22,1
,,,,,,Technology,1
,,,,,,-27.2,1
,,,,,,Office Supplies,1
,,,,,,-27.17,1
,,,,,,Office Supplies,1
,,,,,,-27.13,1
,,,,,,Office Supplies,1
,,,,,,-26.99,1
,,,,,,Office Supplies,1
,,,,,,-26.92,1
,,,,,,Office Supplies,1
,,,,,,-26.66,1
,,,,,,Office Supplies,1
,,,,,,-26.56,1
,,,,,,Office Supplies,1
,,,,,,-26.53,1
,,,,,,Office Supplies,1
,,,,,,-26.45,1
,,,,,,Office Supplies,1
,,,,,,-26.34,1
,,,,,,Office Supplies,1
,,,,,,-26.25,1
,,,,,,Office Supplies,1
,,,,,,-26.21,1
,,,,,,Office Supplies,1
,,,,,,-26.11,3
,,,,,,Furniture,1
,,,,,,Office Supplies,2
,,,,,,-26.02,1
,,,,,,Furniture,1
,,,,,,-26,1
,,,,,,Office Supplies,1
,,,,,,-25.94,1
,,,,,,Office Supplies,1
,,,,,,-25.91,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-25.88,1
,,,,,,Office Supplies,1
,,,,,,-25.78,1
,,,,,,Office Supplies,1
,,,,,,-25.75,1
,,,,,,Office Supplies,1
,,,,,,-25.74,1
,,,,,,Furniture,1
,,,,,,-25.69,1
,,,,,,Office Supplies,1
,,,,,,-25.68,1
,,,,,,Office Supplies,1
,,,,,,-25.64,2
,,,,,,Office Supplies,2
,,,,,,-25.6,2
,,,,,,Office Supplies,2
,,,,,,-25.47,1
,,,,,,Office Supplies,1
,,,,,,-25.43,1
,,,,,,Office Supplies,1
,,,,,,-25.36,1
,,,,,,Office Supplies,1
,,,,,,-25.35,1
,,,,,,Office Supplies,1
,,,,,,-25.31,1
,,,,,,Office Supplies,1
,,,,,,-25.27,1
,,,,,,Furniture,1
,,,,,,-25.22,1
,,,,,,Office Supplies,1
,,,,,,-25.2,2
,,,,,,Office Supplies,2
,,,,,,-25.18,1
,,,,,,Furniture,1
,,,,,,-25.16,1
,,,,,,Office Supplies,1
,,,,,,-25.14,1
,,,,,,Office Supplies,1
,,,,,,-25.09,1
,,,,,,Office Supplies,1
,,,,,,-25.08,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-25.07,1
,,,,,,Furniture,1
,,,,,,-25,3
,,,,,,Office Supplies,3
,,,,,,-24.98,1
,,,,,,Office Supplies,1
,,,,,,-24.9,1
,,,,,,Office Supplies,1
,,,,,,-24.88,1
,,,,,,Office Supplies,1
,,,,,,-24.85,1
,,,,,,Office Supplies,1
,,,,,,-24.77,1
,,,,,,Office Supplies,1
,,,,,,-24.76,3
,,,,,,Office Supplies,1
,,,,,,Technology,2
,,,,,,-24.75,1
,,,,,,Office Supplies,1
,,,,,,-24.72,1
,,,,,,Office Supplies,1
,,,,,,-24.68,1
,,,,,,Office Supplies,1
,,,,,,-24.67,1
,,,,,,Office Supplies,1
,,,,,,-24.65,1
,,,,,,Technology,1
,,,,,,-24.61,1
,,,,,,Office Supplies,1
,,,,,,-24.59,1
,,,,,,Office Supplies,1
,,,,,,-24.57,1
,,,,,,Office Supplies,1
,,,,,,-24.55,1
,,,,,,Office Supplies,1
,,,,,,-24.52,1
,,,,,,Office Supplies,1
,,,,,,-24.5,1
,,,,,,Office Supplies,1
,,,,,,-24.46,1
,,,,,,Office Supplies,1
,,,,,,-24.45,1
,,,,,,Office Supplies,1
,,,,,,-24.39,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-24.38,1
,,,,,,Office Supplies,1
,,,,,,-24.28,2
,,,,,,Office Supplies,2
,,,,,,-24.26,1
,,,,,,Office Supplies,1
,,,,,,-24.25,1
,,,,,,Office Supplies,1
,,,,,,-24.15,1
,,,,,,Office Supplies,1
,,,,,,-24.1,1
,,,,,,Office Supplies,1
,,,,,,-24.08,1
,,,,,,Office Supplies,1
,,,,,,-23.94,1
,,,,,,Office Supplies,1
,,,,,,-23.89,1
,,,,,,Office Supplies,1
,,,,,,-23.85,2
,,,,,,Office Supplies,2
,,,,,,-23.83,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-23.75,1
,,,,,,Office Supplies,1
,,,,,,-23.72,2
,,,,,,Office Supplies,2
,,,,,,-23.71,1
,,,,,,Office Supplies,1
,,,,,,-23.66,1
,,,,,,Office Supplies,1
,,,,,,-23.62,1
,,,,,,Office Supplies,1
,,,,,,-23.61,1
,,,,,,Office Supplies,1
,,,,,,-23.6,1
,,,,,,Office Supplies,1
,,,,,,-23.59,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-23.52,1
,,,,,,Office Supplies,1
,,,,,,-23.42,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-23.37,1
,,,,,,Office Supplies,1
,,,,,,-23.36,1
,,,,,,Office Supplies,1
,,,,,,-23.35,1
,,,,,,Office Supplies,1
,,,,,,-23.31,1
,,,,,,Office Supplies,1
,,,,,,-23.25,1
,,,,,,Office Supplies,1
,,,,,,-23.24,1
,,,,,,Office Supplies,1
,,,,,,-23.18,2
,,,,,,Office Supplies,2
,,,,,,-23.11,1
,,,,,,Office Supplies,1
,,,,,,-23.09,1
,,,,,,Office Supplies,1
,,,,,,-23.07,1
,,,,,,Office Supplies,1
,,,,,,-23.06,1
,,,,,,Office Supplies,1
,,,,,,-22.97,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-22.96,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-22.94,1
,,,,,,Office Supplies,1
,,,,,,-22.77,1
,,,,,,Office Supplies,1
,,,,,,-22.72,1
,,,,,,Office Supplies,1
,,,,,,-22.6,1
,,,,,,Office Supplies,1
,,,,,,-22.59,1
,,,,,,Furniture,1
,,,,,,-22.57,1
,,,,,,Office Supplies,1
,,,,,,-22.49,1
,,,,,,Office Supplies,1
,,,,,,-22.45,1
,,,,,,Office Supplies,1
,,,,,,-22.37,1
,,,,,,Office Supplies,1
,,,,,,-22.3,1
,,,,,,Office Supplies,1
,,,,,,-22.29,1
,,,,,,Office Supplies,1
,,,,,,-22.21,1
,,,,,,Office Supplies,1
,,,,,,-22.17,1
,,,,,,Office Supplies,1
,,,,,,-22.16,2
,,,,,,Office Supplies,2
,,,,,,-22.14,2
,,,,,,Office Supplies,2
,,,,,,-22.13,1
,,,,,,Office Supplies,1
,,,,,,-22.12,1
,,,,,,Office Supplies,1
,,,,,,-22.03,1
,,,,,,Office Supplies,1
,,,,,,-22.01,1
,,,,,,Office Supplies,1
,,,,,,-21.98,1
,,,,,,Office Supplies,1
,,,,,,-21.89,1
,,,,,,Office Supplies,1
,,,,,,-21.86,1
,,,,,,Office Supplies,1
,,,,,,-21.84,1
,,,,,,Office Supplies,1
,,,,,,-21.8,1
,,,,,,Office Supplies,1
,,,,,,-21.76,1
,,,,,,Office Supplies,1
,,,,,,-21.72,1
,,,,,,Furniture,1
,,,,,,-21.7,1
,,,,,,Office Supplies,1
,,,,,,-21.69,2
,,,,,,Office Supplies,2
,,,,,,-21.66,1
,,,,,,Office Supplies,1
,,,,,,-21.63,1
,,,,,,Office Supplies,1
,,,,,,-21.6,1
,,,,,,Office Supplies,1
,,,,,,-21.59,1
,,,,,,Office Supplies,1
,,,,,,-21.57,1
,,,,,,Office Supplies,1
,,,,,,-21.53,1
,,,,,,Office Supplies,1
,,,,,,-21.52,1
,,,,,,Office Supplies,1
,,,,,,-21.49,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-21.47,1
,,,,,,Office Supplies,1
,,,,,,-21.46,1
,,,,,,Office Supplies,1
,,,,,,-21.42,1
,,,,,,Office Supplies,1
,,,,,,-21.4,1
,,,,,,Office Supplies,1
,,,,,,-21.37,2
,,,,,,Office Supplies,2
,,,,,,-21.36,1
,,,,,,Office Supplies,1
,,,,,,-21.34,1
,,,,,,Office Supplies,1
,,,,,,-21.32,1
,,,,,,Office Supplies,1
,,,,,,-21.3,1
,,,,,,Office Supplies,1
,,,,,,-21.25,1
,,,,,,Office Supplies,1
,,,,,,-21.24,1
,,,,,,Office Supplies,1
,,,,,,-21.19,1
,,,,,,Office Supplies,1
,,,,,,-21.17,1
,,,,,,Office Supplies,1
,,,,,,-21.13,2
,,,,,,Furniture,1
,,,,,,Office Supplies,1
,,,,,,-21.11,1
